Organization,Ftype,RoundUSS,Investor,NXTP Labs,Monashees,Kaszek Ventures,Mountain Nazca,Redpoint eventures,Bozano Investimentos,Aurus,Investo,Alta Ventures Mexico,ALLVP,Angel Ventures,IGNIA,CRP Companhia de Participaçõe,e.Bricks Ventures,Confrapar,Magma Partners,CORFO,SP Ventures,DGF Investimentos,Mercado Libre Fund,Inseed Investimentos,Criatec 2,Astella Investimentos,DILA Capital,Velum Ventures,FCP,Scale Capital,Alaya Capital,Polymath,Primary Ventures,T2m Capital,Omidyar Network,Elevar Equity,Quona Capital,Gray Matters Capital,Performa Investimentos,Vox Capital,Promotora Social México,Pomona Impact,MOV Investimentos
Increase,Angel,"100,000.00","NXTP Labs, Wayra",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Trends,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Minuto Seguros,Series B,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodati,Seed,"1,000,000.00","NXTP Labs, Peter Kellner, Quasar Builders",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omiexperience,Angel,  ,Astella Investimentos,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
MFM - Master Financial Management,Venture - Series Unknown,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiris,Series A,  ,CRP Companhia de Participaçõe,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QMagico,Series A,"900,495.27",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuve,Debt Financing,"625,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClickMagic,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infracommerce,Convertible Note,"1,883,000.00","e.Bricks Ventures, Flybridge Capital Partners, Silvio Genesini",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Netshoes,Venture - Series Unknown,"170,000,000.00","GIC, ICONIQ Capital, Kaszek Ventures, Temasek Holdings, Tiger Global Management",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zolvers,Seed,"53,000.00","500 Startups, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuiaBolso,Series A,"3,000,000.00","e.Bricks Ventures, Kaszek Ventures, Valor Capital Group",,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Clicksign,Seed,  ,"Astella Investimentos, Redpoint eventures, Romero Rodrigues",,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Simple Móviles,Angel,"2,500,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClubVenta,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu Canton,Angel,"1,148,547.27","Angel Ventures, DILA Capital",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Bidu,Series B,"8,900,000.00","Amadeus Capital Partners, Bertelsmann, Monashees, Otto Capital",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigemina,Venture - Series Unknown,"8,000,000.00",Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondore,Convertible Note,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Monkey,Venture - Series Unknown,  ,"Alta Ventures Mexico, Oakhouse Partners",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone,Seed,"800,000.00","Brian NeSmith, Cygnus Capital, Derrik Deyhimi, NXTP Labs, Techstars Ventures",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReStudio,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
EmporioCommerce,Seed,  ,"Grupo Logistico Andreani, Mercado Libre Fund, NXTP Labs",1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Nubimetrics,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Carrot,Series A,"1,819,021.11","ALLVP, Auria Capital, Fondo de Fondos, Mexico Ventures",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambly,Seed,  ,"Cherubic Ventures, Investo, Semil Shah, Sherpa Capital, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOintegro,Series B,  ,"Endeavor Catalyst, Kaszek Ventures, Riverwood Capital",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bebitos,Venture - Series Unknown,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andes Biotechnologies,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qool,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retargetly,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TuTanda,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearway,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeroArte,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu Canton,Seed,  ,"Angel Ventures, DILA Capital",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
WePlann,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mon.ki,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klooff,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocodrilo Dog,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiTurno,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookapp,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tus reQRdos,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelimétrica,Seed,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorsh,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MonoLibre,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahorse,Seed,"450,000.00","Mountain Nazca, NXTP Labs",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinAd,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket.La,Convertible Note,"550,000.00","500 Startups, Angel Ventures, Anna Raptis, Escala.vc, Juan Martitegui, T2M Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
S4,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Trends,Seed,"35,000.00","Alejandro Estrada, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoodPeople,Seed,"750,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormaFina,Seed,  ,"BoomStartup, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresse,Series A,  ,"DGF Investimentos, e.Bricks Ventures, Qualcomm Ventures",,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Memed,Series A,"1,000,000.00",Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talent Process,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Monkey,Venture - Series Unknown,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophie & Juliete,Series B,  ,"Astella Investimentos, Redpoint eventures, Verus Group",,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Oja.la,Seed,"615,000.00","Alta Ventures Mexico, Angel Ventures, Escala.vc, Investo, Naranya Labs, NXTP Labs, Start-Up Chile",1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VidAngel,Seed,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberry Chic,Seed,"300,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nubelo,Seed,"1,253,000.00","Caixa Capital Risc, Finaves S.C.R., Mountain Nazca, South Ventures",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energryn,Convertible Note,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glamit,Venture - Series Unknown,"435,000.00","Mercado Libre Fund, Mountain Nazca, NXTP Labs, Start-Up Chile",1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
MFM - Master Financial Management,Venture - Series Unknown,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nibo,Series A,  ,"Redpoint eventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopperception Inc,Seed,"720,030.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubleer Media,Seed,"240,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudena,Series A,"948,255.17",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petsy,Venture - Series Unknown,"1,000,000.00","ALLVP, Capital Invent, Capital Invest, DILA Capital, Mountain Nazca, SeedRocket",,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
PSafe Technology,Series C,"30,000,000.00","e.ventures, Pinnacle Ventures, Qihoo 360 Technology, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Widow Games,Seed,"280,000.00","Angel Investors, Cygnus Capital, NXTP Labs, Wayra",1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Sports Box,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trendyta,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algenis,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContaAzul,Series B,  ,"Monashees, Napkn Ventures, Valar Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoPixel,Seed,"2,350,000.00","180 Degree Capital, Aurus",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,Seed,  ,"Alta Ventures Mexico, Angel Ventures",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopperception Inc,Seed,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colppy,Convertible Note,"75,000.00",Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Petsy,Series A,"1,010,155.04","ALLVP, Capital Invent, DILA Capital",,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Viajamex,Seed,"153,866.84",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondore,Seed,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screenie,Seed,"700,000.00","Alta Ventures Mexico, BoomStartup, Peak Ventures",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripio,Seed,"2,000,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izzui,Series A,"1,370,488.81",Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Smartbill Assinaturas,Seed,"750,000.00",Astella Investimentos,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Meridia,Seed,  ,"Angel Ventures, Grupo Baluard",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinimanes,Seed,"345,000.00","500 Startups, Escala.vc, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcoSynth,Series A,"1,370,488.81",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cre Apps,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cottonTracks,Seed,"165,000.00","Investo, NXTP Labs",1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormaFina,Seed,"1,400,000.00","500 Startups, El Paso Advisors, Hans Hickler, IG Business Angels, In Hsieh, Plug and Play, Redpoint eventures, South Ventures, Start Capital, Start-Up Chile",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inmobly,Seed,"690,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flimper,Seed,"150,000.00","NXTP Labs, Softlandings Uruguay",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oja.la,Seed,  ,"Alta Ventures Mexico, Ian Noel",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComparaOnline,Series B,"11,000,000.00","Endeavor Catalyst, Kaszek Ventures, Ribbit Capital, Rise Capital",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellogic,Seed,"2,000,000.00","Ariel Arrieta, NXTP Labs, Santiago Pinto Escalier, Starlight Ventures",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comenta TV,Seed,"350,000.00","Enzyme Venture Capital, NXTP Labs, Wayra",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PingStamp,Seed,"10,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripio,Seed,"25,000.00","Digital Currency Group, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeHaus,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComproPago,Seed,"10,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinemad.tv,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC Trip,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LatinCoin,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutum,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecomsual,Seed,"125,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascotaNube,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flipter,Seed,"20,000.00","Naranya Labs, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticket Hoy,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitt2Go,Seed,"10,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuona,Seed,"40,000.00","Naranya Labs, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo 4vets,Debt Financing,"762,500.00",e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Restorando,Series B,"13,300,000.00","Atomico, Emergence, Endeavor Catalyst, Flybridge Capital Partners, Kaszek Ventures, Storm Ventures",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JobConvo,Seed,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wanderu,Seed,"2,450,000.00","Alta Ventures Mexico, Bill Kaplan, Craig Lentzsch, Darcy Wedd, Drummond Road Capital, Jeffrey Clarke, Oliver Thylmann, Semyon Dukach, Wasabi Ventures",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiCursada,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoowUp,Angel,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happyshop,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prestadero,Seed,"235,570.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levita Magnetics,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubank,Seed,"2,000,000.00","Kaszek Ventures, Sequoia Capital",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Seed,"1,332,149.20","Adeyemi Ajao, Augusta Investments LLC (Urizen), Monashees, Qualcomm Ventures, StartCaps Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicinia,Series A,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,Venture - Series Unknown,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,Seed,"1,700,000.00","500 Startups, Accion Venture Lab, Alta Ventures Mexico, Angel Ventures, Karl Mehta",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Station,Series A,"2,220,248.67",DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
clickOnero,Seed,  ,"Angel Ventures, Bravo Equity Partners, Capital Indigo, DILA Capital, VARIV Capital",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Ilusis,Series A,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cuídate,Seed,"199,920.41",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuiaBolso,Seed,  ,"Carlos Curioni, Daniel Martins, e.Bricks Ventures, Florian Otto, Valor Capital Group",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
eÓtica,Series A,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Eventioz,Venture - Series Unknown,"1,500,000.00",Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Opinion,Seed,  ,"500 Startups, Greylock Partners, Monashees, Promus Ventures, Scrum Ventures, Start Fund",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiempy.com,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClickMagic,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canal da Peça S.A.,Seed,  ,"Daniel Martins, e.Bricks Ventures, Eduardo Casarini, Ricardo Salgado, Romero Rodrigues",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Médica Santa Carmen,Series A,"492,156.57",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voy al Doc,Seed,"579,007.73","ALLVP, NALA Investments",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViajaNet,Series C,  ,"General Catalyst, Pinnacle Ventures, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beleza na Web,Series B,"10,000,000.00","Kaszek Ventures, Tiger Global Management",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLx Pharma,Venture - Series Unknown,"8,273,296.00","Aurus, Emerald Private Equity Fund, Integra Ventures, UT Horizon Fund",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EduK,Series A,  ,Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prova Facil,Series B,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
UHMA,Seed,"325,176.21",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salud Fácil,Seed,"621,899.51","Accion, ALLVP",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minuto Seguros,Series A,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comenta TV,Seed," ARS249,125 ",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laticinios Sao Vincente,Private Equity,  ,"Bozano Investimentos, Mercato P",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citibuddies,Seed,"45,000.00","NXTP Labs, Ron Aris",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniClinic,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetNinjas,Series A,"3,000,000.00","Kaszek Ventures, Monashees, Otto Capital, Otto Group",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guidecentral,Angel,"450,000.00","Bernardo Flood, Enzyme Venture Capital, Fernando Iervasi, Giovanni Stella, Mario Vazquez, NXTP Labs, Pablo Aristizabal, Robert Gober, Victor Valle",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutrade,Series A,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesto Saúde e Tecnologia,Venture - Series Unknown,  ,DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Jusbrasil,Series A,  ,"Bertelsmann, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iDealResponse,Venture - Series Unknown,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrebem,Series A,"1,159,858.80",Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ondore,Seed,"1,500,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aentropico,Seed,"25,000.00","21212, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Converus,Seed,"1,300,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Properati,Seed,"200,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Startupi,Seed,"300,000.00","Cassio Spina, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidbox,Seed,"125,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
femeninas,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheFanLeague,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,Seed,"1,300,000.00",Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuiaLocal,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olook,Series B,  ,"Monashees, Valor Capital Group",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotspin,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juv Acessórios,Seed,  ,"e.Bricks Ventures, Rigi Ventures, Valor Capital Group",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MiCarga,Seed,"47,500.00","NXTP Labs, Socialatom Ventures",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Likeeds,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tale Me Stories,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bebitos,Seed,"1,200,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tienda Nube,Seed,"1,000,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinimanes,Seed,"145,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppten,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
